original_sponsor,clustered_sponsor
PARKER'S HOTEL (LATE TRAM0NTANO),Parker's Hotel (late Tram0ntano)
NEW YORK CENTRAL & HUDSON RIVER R.R.,New York Central
CASTLE GARDEN HOTEL,Castle Garden Hotel
ALPHA KAPPA PHI,Alpha Kappa Phi
MURRAY HILL HOTEL,Murray Hill Hotel
LEHIGH VALLEY RAILROAD,Lehigh Valley Railroad
LA NOCHE BUENA,La Noche Buena
SOUTHERN RAILWAY,Southern Railway
CHICAGO BEACH HOTEL,Chicago Beach Hotel
MENZIES HOTEL,Menzie's Hotel
STEVENS HOUSE,Stevens House
GOVERNORS OF THE LOTUS CLUB,Governors Of The Lotus Club
RED STAR LINE -ANTWERPEN NY,Red Star Line - Antwerpen  - NY
O. D.,O. D.
KURHAUS,Kurhaus
STATE DEPARTMENT SPECIAL TO THE PAN-AMERICAN CONGRESS AT THE CITY OF MEXICO (PULLMAN CAR SERVICE),State Department Special To The Pan-american Congress At The City Of Mexico
U.S.DIPLOMATIC CORPS,U.S.Diplomatic Corps
BOARD OF MANAGERS OF THE PRIVATE CHARITABLE INSTITUTIONS,Board Of Managers Of The Private Charitable Institutions
ROYAL VICTORIA HOTEL,Royal Victoria Hotel
KING FREDERIK VIII,(king Frederik Viii)
STUAT HOUSE,Stuat House
N.Y.&P.R.S.S.CO. - U.S.M.S. COAMO,N.Y.&p.R.S.S.Co. - U.S.M.S. Coamo
GOLD LEAF MANUFACTURERS,Gold Leaf Manufacturers
VASSAR COLLEGE,Vassar College
THE NEW YORK QUICK LUNCH RESTAURANT,The New York Quick Lunch Restaurant
THE FLORIDA STATE FAIR ASSOCIATION,The Florida State Fair Association
MILITARY ORDER OF THE LOYAL LEGION OF THE UNITD STATES COMMANDERY OF THE STATE OF MINNESOTA,Military Order Of The Loyal Legion Of The United States Commandery Of The State Of Minnesota
D'ANGLETERRE HOTEL,D'angleterre Hotel
THOMAS H. PAYNTER,Thomas H. Paynter
ST. ANDREW'S SOCIETY OF NY,St. Andrew's Society
LOVING  CUP CLUB,Loving  Cup Club
NORTH WESTERN HOTEL,North Western Hotel
LIBERAL UNION CLUB,Liberal Union Club
FRIENDS OF HON. PHILIP BLOCH,Friends Of Hon. Philip Bloch
COLUMBIA DAIRY KITCHEN;,Columbia Dairy Kitchen;
JERUSALEM CHAPTER NO 8 R.A.M.,Jerusalem Chapter No 8 R.A.M.
PENATAQUIT CORINTHIAN YACHT CLUB,Penataquit Corinthian Yacht Club
VICTORIAN FIELD ARTILLERY,Victorian Field Artillery
HOME MARKET CLUB,Home Market Club
INDEPENDENCE LEAGUE COUNTY COMMITTEE OF NEW YORK,Independence Hall
CITIZENS OF OTTAWA,Citizens Of Ottawa
(J.EDWARD SIMMONS?),(j.Edward Simmons?)
MR. LOUIS WEBER,Mr. Louis Weber
STATEN ISLAND ATHLETIC CLUB,Staten Island Athletic Club
VERMONT AND NEW HAMPSHIRE INDEPENDENT TELEPHONE ASSOCIATION,Vermont And New Hampshire Independent Telephone Association
WASHINGTON UNIVERSITY CLASS OF 1896,Washington University Class Of 1896
ENGLISH AND CLASSICAL SCHOOL,English And Classical School
QUEEN WILHELMINA,Queen Wilhelmina
Colored Citizens of New York and Vicinity,Colored Citizens Of New York And Vicinity
THE COLUMBIAN CLUB,The Columbian Club
CRUSADER COMMANDERY NO. 56 KNIGHTS TEMPLAR,Crusader Commandery No. 56 Knights Templar
ST. GEORGES SOCIETY,St. George's Society
DRY GOODS CLUB,Dry Goods Club
RHODE ISLAND WHEELMEN,Rhode Island Wheelmen
CERCLE FRANCAID DE L'HARMONIE,Cercle Francaid De L'harmonie
LAKOTA HOTEL,Lakota Hotel
EMPEROR OF JAPAN,Emperor Of Japan
LOUISIANA BANKERS ASSOCIATION,Louisiana Bankers Association
ST. SAVEUR,St. Sauveur
