original_sponsor,clustered_sponsor
"PARKER'S HOTEL (LATE TRAM0NTANO)","PARKER'S HOTEL (LATE TRAM0NTANO)"
"NEW YORK CENTRAL & HUDSON RIVER R.R.","NEW YORK CENTRAL & HUDSON RIVER R.R."
"CASTLE GARDEN HOTEL","CASTLE GARDEN HOTEL"
"ALPHA KAPPA PHI","ALPHA KAPPA PHI"
"MURRAY HILL HOTEL","MURRAY HILL HOTEL"
"LEHIGH VALLEY RAILROAD","LEHIGH VALLEY RAILROAD"
"LA NOCHE BUENA","LA NOCHE BUENA"
"SOUTHERN RAILWAY","SOUTHERN RAILWAY"
"CHICAGO BEACH HOTEL","CHICAGO BEACH HOTEL"
"MENZIES HOTEL","MENZIES HOTEL"
"STEVENS HOUSE","STEVENS HOUSE"
"GOVERNORS OF THE LOTUS CLUB","GOVERNORS OF THE LOTUS CLUB"
"RED STAR LINE -ANTWERPEN NY","RED STAR LINE -ANTWERPEN NY"
"O. D.","O. D."
"KURHAUS","KURHAUS"
"STATE DEPARTMENT SPECIAL TO THE PAN-AMERICAN CONGRESS AT THE CITY OF MEXICO (PULLMAN CAR SERVICE)","STATE DEPARTMENT SPECIAL TO THE PAN-AMERICAN CONGRESS AT THE CITY OF MEXICO (PULLMAN CAR SERVICE)"
"U.S.DIPLOMATIC CORPS","U.S.DIPLOMATIC CORPS"
"BOARD OF MANAGERS OF THE PRIVATE CHARITABLE INSTITUTIONS","BOARD OF MANAGERS OF THE PRIVATE CHARITABLE INSTITUTIONS"
"ROYAL VICTORIA HOTEL","ROYAL VICTORIA HOTEL"
"KING FREDERIK VIII","KING FREDERIK VIII"
"STUAT HOUSE","STUAT HOUSE"
"N.Y.&P.R.S.S.CO. - U.S.M.S. COAMO","N.Y.&P.R.S.S.CO. - U.S.M.S. COAMO"
"GOLD LEAF MANUFACTURERS","GOLD LEAF MANUFACTURERS"
"VASSAR COLLEGE","VASSAR COLLEGE"
"THE NEW YORK QUICK LUNCH RESTAURANT","THE NEW YORK QUICK LUNCH RESTAURANT"
"THE FLORIDA STATE FAIR ASSOCIATION","THE FLORIDA STATE FAIR ASSOCIATION"
"MILITARY ORDER OF THE LOYAL LEGION OF THE UNITD STATES COMMANDERY OF THE STATE OF MINNESOTA","MILITARY ORDER OF THE LOYAL LEGION OF THE UNITD STATES COMMANDERY OF THE STATE OF MINNESOTA"
"D'ANGLETERRE HOTEL","D'ANGLETERRE HOTEL"
"THOMAS H. PAYNTER","THOMAS H. PAYNTER"
"ST. ANDREW'S SOCIETY OF NY","ST. ANDREW'S SOCIETY OF NY"
"LOVING  CUP CLUB","LOVING  CUP CLUB"
"NORTH WESTERN HOTEL","NORTH WESTERN HOTEL"
"LIBERAL UNION CLUB","LIBERAL UNION CLUB"
"FRIENDS OF HON. PHILIP BLOCH","FRIENDS OF HON. PHILIP BLOCH"
"COLUMBIA DAIRY KITCHEN;","COLUMBIA DAIRY KITCHEN;"
"JERUSALEM CHAPTER NO 8 R.A.M.","JERUSALEM CHAPTER NO 8 R.A.M."
"PENATAQUIT CORINTHIAN YACHT CLUB","PENATAQUIT CORINTHIAN YACHT CLUB"
"VICTORIAN FIELD ARTILLERY","VICTORIAN FIELD ARTILLERY"
"HOME MARKET CLUB","HOME MARKET CLUB"
"INDEPENDENCE LEAGUE COUNTY COMMITTEE OF NEW YORK","INDEPENDENCE LEAGUE COUNTY COMMITTEE OF NEW YORK"
"CITIZENS OF OTTAWA","CITIZENS OF OTTAWA"
"(J.EDWARD SIMMONS?)","(J.EDWARD SIMMONS?)"
"MR. LOUIS WEBER","MR. LOUIS WEBER"
"STATEN ISLAND ATHLETIC CLUB","STATEN ISLAND ATHLETIC CLUB"
"VERMONT AND NEW HAMPSHIRE INDEPENDENT TELEPHONE ASSOCIATION","VERMONT AND NEW HAMPSHIRE INDEPENDENT TELEPHONE ASSOCIATION"
"WASHINGTON UNIVERSITY CLASS OF 1896","WASHINGTON UNIVERSITY CLASS OF 1896"
"ENGLISH AND CLASSICAL SCHOOL","ENGLISH AND CLASSICAL SCHOOL"
"QUEEN WILHELMINA","QUEEN WILHELMINA"
"Colored Citizens of New York and Vicinity","Colored Citizens of New York and Vicinity"
"THE COLUMBIAN CLUB","THE COLUMBIAN CLUB"
"CRUSADER COMMANDERY NO. 56 KNIGHTS TEMPLAR","CRUSADER COMMANDERY NO. 56 KNIGHTS TEMPLAR"
"ST. GEORGES SOCIETY","ST. GEORGES SOCIETY"
"DRY GOODS CLUB","DRY GOODS CLUB"
"RHODE ISLAND WHEELMEN","RHODE ISLAND WHEELMEN"
